,news_headline,news_article,news_category
0,"After Musk tweets 'Use Signal', unrelated stock with similar name surges 1,100%","After Elon Musk endorsed encrypted messaging app Signal tweeting, 'Use Signal,' an unrelated US company called Signal Advance saw its shares jump 1,100%. Signal and Telegram are seeing a sudden increase in demand amid changes to WhatsApp's terms of service. WhatsApp has asked users to agree to let Facebook and its subsidiaries collect user data, including phone numbers and location.",technology
1,Donald Trump permanently banned from Twitter,"Twitter has permanently banned US President Donald Trump's personal account due to the risk of further incitement of violence following the storming of the US Capitol on Wednesday.
The account had more than 88 million followers. This is the first time Twitter has banned a head of state, the company confirmed.",technology
2,Man finds father's image on Google Earth 7 years after his death; pic goes viral,"A man in Japan found an image of his father, who passed away seven years ago, on Google Earth. Twitter user @TeacherUfo said he decided to search for his parents' house on Google as he was feeling bored during the pandemic. ""My father must have been waiting for my mother....My father was a quiet but kind man,"" he wrote.",technology
3,Bad sign: Mexican Prez after Trump's social media accounts suspended,"Following the suspension of US President Donald Trump's social media accounts, Mexican President Andrés Manuel López Obrador said that it was a ""bad sign"" that private companies could ""silence and censor"" opinion. ""This doesn't bode well and is contrary to freedom,"" he added. Several social media platforms have banned Trump after the riots by his supporters at the US Capitol.",technology
4,Signal app registration system crashes after Musk tweets 'Use Signal',Private encrypted messaging app Signal tweeted that verification codes for users signing up for the app were delayed because several people were attempting to join the service. The crash followed a tweet by the world's richest man Elon Musk that read 'Use Signal'. This comes amid WhatsApp users receiving an in-app notification asking them to agree to updated policies.,technology
5,Fortnite-maker Epic Games acquires US-based RAD Game Tools,"Fortnite-maker Epic Games has acquired US-based RAD Game Tools, a video game software development company, for an undisclosed sum. Epic said RAD's products and technology appear in close to 25,000 games and are leveraged by the world's leading gaming companies. Epic and RAD plan to integrate RAD's technology into 'Unreal Engine' to ""benefit the developer community and gamers alike"".",technology
6,Google's new workers' union criticises YouTube for not banning Trump,"The Alphabet Workers Union, which is the newly-formed Google employees' union, has written to YouTube executives, accusing the platform of fostering fascism and responding insufficiently to the violence caused by pro-Trump rioters at the US Capitol. The union criticised YouTube for only taking down one video from Donald Trump rather than banning his account like Facebook and Instagram did.",technology
7,Air India introduces UV robots to disinfect aircrafts,"Air India Express, a subsidiary of India's national carrier Air India, said it has become the first airline to use ultraviolet robots to clean and disinfect its aircrafts. The device comes with a UV disinfection lamping system and collapsible arms to reach difficult-to-access areas, the airline said. It was used at Delhi airport on Thursday for its Boeing 737-800 aircraft.",technology
8,US lawmaker live-streamed on Facebook as he stormed Capitol,"A West Virginia Republican lawmaker Derrick Evans live-streamed a Facebook video of himself and other rioters storming the US Capitol. He later deleted the video from his page. A five-minute video showed Evans walking inside the Capitol shouting ""We're in baby!"" and ""Freedom!"". Over 50,000 people have signed an online petition asking for Evans' removal.",technology
9,IIT-K team makes 5G network system that uses drones for emergencies,An IIT-Kharagpur team has made a UAV-assisted system for 5G that can serve as an airborne mobile telecom tower during emergencies. The system involves an android-based application fitted to a fleet of drones that can create emergency communication networks from closest available mobile towers.The institute said its fleet can be deployed in a particular location through intelligent programming.,technology
10,"Google bans Parler, a social media app popular with Trump supporters","Google has removed Parler, a social media app that is widely popular with far-right conservatives and Trump supporters, from its Play Store. It said the ""continued posting...that seeks to incite ongoing violence in the US"" led to Parler's removal. Apple issued a similar notice to Parler and gave it 24 hours to implement a content moderation plan.",technology
11,"Twitter bans Trump's ex-adviser Michael Flynn, other QAnon supporters","Twitter has removed the accounts of US President Donald Trump's former national security adviser Michael Flynn and Sidney Powell, permanently, as part of a broader effort to contain the QAnon conspiracy movement. Their accounts were removed under Twitter's ""coordinated harmful activity"" policy. Ron Watkins, who previously ran 8kun (formerly 8chan) also saw his account removed.",technology
12,Twitter suspends account of Trump's team after permanently banning him,"After permanently banning US President Donald Trump, Twitter suspended his presidential campaign account @TeamTrump. The account was suspended shortly after it posted a statement from Trump accusing Twitter of ""banning free speech"" and coordinating with ""the Democrats and the Radical Left"" to silence him. Twitter also deleted new tweets posted by Trump on his official government account @POTUS.",technology
13,Apple adds more Tesla ex-execs to its self-driving car team: Report,"A ""small team"" at Apple working on its self-driving car has seen the addition of more former Tesla executives, Bloomberg reported. The report said Apple recently hired Jonathan Sive, a vehicle engineer from Tesla and Waymo, as a senior manager on the car project. It also hired former Tesla engineering VP Steve MacManus, who is now working for the project. ",technology
14,BJP IT head Amit Malviya expresses concern over Trump's Twitter ban,"BJP's IT department chief Amit Malviya expressed his concerns over US President Donald Trump's ban from Twitter. ""It has less to do with his views and more to do with intolerance for a differing point,"" he said. Malviya added that deplatforming a sitting US President sets a ""dangerous precedent"" and remarked, ""big tech firms are now the new oligarchs.""",technology
15,"Audi to phase out combustion engines in 10-15 years, offer only EVs: Report","German automobile giant Volkswagen's premier carmaker Audi aims to phase out combustion engines and offer only electric vehicles in the next 10 to 15 years, reported a local German newspaper. Audi CEO Markus Duesmann told the newspaper that “protection of the environment and economic success go together well”. The company is currently working on a concrete time plan, it reported.",technology
16,Google antitrust suit US judge to divest funds that own Alphabet stock,The judge hearing the US justice department's antitrust case against Google said he will sell mutual funds he owns that hold stock of Alphabet. He said he learned that some mutual funds held by him and his wife contain Alphabet stock and directed their sale. He added they had not directed funds' purchase and that they were recommended to them.,technology
17,General Motors changes logo for 1st time since 1964 to highlight EV focus,"US-based automobile giant General Motors (GM) on Friday unveiled a new corporate logo, its first major logo change since 1964, to highlight its focus on electric vehicles (EVs). The ""m"" in the new logo is a nod to the shape of an electrical plug, the company said. GM has also said it will launch 30 new EVs by 2025-end.",technology
18,Tesla cars' sudden acceleration reports were due to user error: NHTSA,"The US NHTSA has determined the reports of sudden unintended acceleration (SUA) involving four different Tesla models were due to user error. NHTSA is denying a petition to formally review over 6.62 lakh vehicles and potentially recall them. It said there is ""no evidence"" of any fault in the cars' systems that contributed to any of the incidents.",technology
19,"Tesla shares jump 4.9%, its market value crosses $800B for 1st time","Shares of Tesla jumped 4.9% on January 8, taking its market capitalisation to more than $800 billion for the first time ever. This comes right after Tesla's market value crossed $774 billion, making it Wall Street's fifth most valuable company, just behind Alphabet and ahead of Facebook. Tesla CEO Elon Musk surpassed Jeff Bezos to become the world's richest person.",technology
20,UK to probe Google's plan to replace tracking cookies,The UK's Competition and Markets Authority (CMA) has launched an investigation into Google’s proposals to remove third-party cookies and other functions from Chrome. This comes after a coalition of digital marketing firms complained to the CMA about Google’s Privacy Sandbox. The CMA will assess if the Privacy Sandbox would lead to further accumulation of advertising spend in Google's ecosystem.,technology
